Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-09T10:05:00.000Z,6.661568165,2016-05-09T10:05:00.000Z,8.053701401,2016-05-09T10:05:00.000Z,6.727233887,2016-05-09T10:05:00.000Z,5.030573845,2016-05-09T10:05:00.000Z,6.442856
2016-05-09T10:10:00.000Z,8.188737,2016-05-09T10:10:00.000Z,8.049007,2016-05-09T10:10:00.000Z,6.697511196,2016-05-09T10:10:00.000Z,5.02115,2016-05-09T10:10:00.000Z,6.433051
2016-05-09T10:15:00.000Z,7.703919888,2016-05-09T10:15:00.000Z,8.034127,2016-05-09T10:15:00.000Z,6.704646,2016-05-09T10:15:00.000Z,5.035345,2016-05-09T10:15:00.000Z,6.460064888
2016-05-09T10:20:00.000Z,5.571517,2016-05-09T10:20:00.000Z,8.054615021,2016-05-09T10:20:00.000Z,6.735017776,2016-05-09T10:20:00.000Z,5.04309,2016-05-09T10:20:00.000Z,6.447052956
2016-05-09T10:25:00.000Z,7.116925,2016-05-09T10:25:00.000Z,8.05247879,2016-05-09T10:25:00.000Z,6.717772,2016-05-09T10:25:00.000Z,5.040496826,2016-05-09T10:25:00.000Z,6.446825
2016-05-09T10:30:00.000Z,6.126463,2016-05-09T10:30:00.000Z,8.041758537,2016-05-09T10:30:00.000Z,6.715597,2016-05-09T10:30:00.000Z,5.0102,2016-05-09T10:30:00.000Z,6.454720974
2016-05-09T10:35:00.000Z,6.829035,2016-05-09T10:35:00.000Z,8.010737419,2016-05-09T10:35:00.000Z,6.703884,2016-05-09T10:35:00.000Z,5.060453,2016-05-09T10:35:00.000Z,6.446023
2016-05-09T10:40:00.000Z,6.779547,2016-05-09T10:40:00.000Z,8.041989326,2016-05-09T10:40:00.000Z,7.952127934,2016-05-09T10:40:00.000Z,5.049465,2016-05-09T10:40:00.000Z,6.463115215
2016-05-09T10:45:00.000Z,6.739825,2016-05-09T10:45:00.000Z,8.049541,2016-05-09T10:45:00.000Z,8.259782,2016-05-09T10:45:00.000Z,5.058544,2016-05-09T10:45:00.000Z,6.472998142
2016-05-09T10:50:00.000Z,6.670036793,2016-05-09T10:50:00.000Z,8.048853874,2016-05-09T10:50:00.000Z,8.282297,2016-05-09T10:50:00.000Z,5.063313961,2016-05-09T10:50:00.000Z,6.460484028
